hour_of_year,pm2.5_2022,pm2.5_2023,pm2.5_2024
8048,29.0,42.0,
8049,34.0,35.0,
8050,34.0,20.0,
8051,33.0,18.0,
8052,38.0,24.0,
8053,36.0,40.0,
8054,43.0,25.0,
8055,53.0,25.0,
8056,70.0,28.0,
8057,56.0,22.0,
8058,28.0,33.0,
8059,36.0,57.0,
8060,52.0,67.0,
8061,33.0,76.0,
8062,18.0,71.0,
8063,25.0,63.0,
8064,27.0,64.0,
8065,27.0,71.0,
8066,25.0,80.0,
8067,30.0,60.0,
8068,25.0,46.0,
8069,25.0,32.0,
8070,20.0,37.0,
8071,21.0,30.0,
8072,24.0,29.0,
8073,25.0,26.0,
8074,43.0,26.0,
8075,50.0,28.0,
8076,53.0,24.0,
8077,45.0,18.0,
8078,29.0,11.0,
8079,17.0,5.0,
8080,35.0,10.0,
8081,28.0,8.0,
8082,23.0,13.0,
8083,33.0,19.0,
8084,28.0,23.0,
8085,21.0,31.0,
8086,14.0,33.0,
8087,17.0,32.0,
8088,17.0,40.0,
8089,15.0,32.0,
8090,12.0,33.0,
8091,11.0,25.0,
8092,2.0,31.0,
8093,5.0,27.0,
8094,,27.0,
8095,7.0,20.0,
8096,6.0,20.0,
8097,8.0,22.0,
8098,14.0,28.0,
8099,15.0,11.0,
8100,12.0,10.0,
8101,10.0,11.0,
8102,11.0,,
8103,26.0,,
8104,29.0,,
8105,16.0,11.0,
8106,15.0,15.0,
8107,16.0,33.0,
8108,18.0,32.0,
8109,24.0,25.0,
8110,26.0,16.0,
8111,35.0,20.0,
8112,26.0,29.0,
8113,10.0,34.0,
8114,8.0,34.0,
8115,13.0,45.0,
8116,9.0,45.0,
8117,13.0,,
8118,8.0,43.0,
8119,6.0,33.0,
8120,8.0,30.0,
8121,13.0,37.0,
8122,17.0,39.0,
8123,24.0,48.0,
8124,28.0,31.0,
8125,28.0,18.0,
8126,22.0,19.0,
8127,20.0,17.0,
8128,22.0,19.0,
8129,22.0,21.0,
8130,35.0,19.0,
8131,47.0,21.0,
8132,36.0,25.0,
8133,32.0,34.0,
8134,39.0,31.0,
8135,42.0,34.0,
8136,31.0,33.0,
8137,31.0,17.0,
8138,32.0,27.0,
8139,37.0,32.0,
8140,54.0,29.0,
8141,56.0,22.0,
8142,65.0,16.0,
8143,62.0,19.0,
8144,55.0,29.0,
8145,45.0,15.0,
8146,54.0,12.0,
8147,61.0,16.0,
8148,10.0,13.0,
8149,26.0,7.0,
8150,38.0,,
8151,39.0,10.0,
8152,43.0,5.0,
8153,40.0,8.0,
8154,57.0,3.0,
8155,38.0,9.0,
8156,52.0,14.0,
8157,64.0,12.0,
8158,79.0,13.0,
8159,77.0,19.0,
8160,78.0,9.0,
8161,86.0,13.0,
8162,71.0,9.0,
8163,33.0,9.0,
8164,19.0,23.0,
8165,18.0,6.0,
8166,18.0,14.0,
8167,16.0,4.0,
8168,18.0,5.0,
8169,20.0,9.0,
8170,23.0,9.0,
8171,25.0,10.0,
8172,25.0,14.0,
8173,30.0,10.0,
8174,35.0,15.0,
8175,57.0,14.0,
8176,53.0,19.0,
8177,41.0,21.0,
8178,30.0,28.0,
8179,27.0,21.0,
8180,30.0,16.0,
8181,30.0,19.0,
8182,40.0,22.0,
8183,48.0,20.0,
8184,50.0,21.0,
8185,43.0,24.0,
8186,47.0,25.0,
8187,30.0,14.0,
8188,23.0,15.0,
8189,19.0,28.0,
8190,21.0,42.0,
8191,21.0,27.0,
8192,22.0,42.0,
8193,25.0,44.0,
8194,33.0,27.0,
8195,31.0,33.0,
8196,36.0,39.0,
8197,33.0,36.0,
8198,30.0,19.0,
8199,29.0,20.0,
8200,32.0,44.0,
8201,35.0,35.0,
8202,45.0,27.0,
8203,47.0,25.0,
8204,45.0,31.0,
8205,57.0,42.0,
8206,74.0,34.0,
8207,82.0,46.0,
8208,70.0,47.0,
8209,71.0,53.0,
8210,63.0,58.0,
8211,31.0,75.0,
8212,19.0,69.0,
